1/1/2002 20:00,9572.7484817742,1335.4686280421,1245.7792801105,1134.1727349225,12454.6583515311,2671.3497890948,5978.50443488,1060.1297149115,35452.8114152665
1/2/2002 20:00,10728.1997154108,1682.6285305932,1328.5116516159,1425.2473727898,15010.6171335908,2983.4126529738,6390.1309725048,1154.9753588292,40703.7233883083
1/3/2002 20:00,10962.2360058807,1632.0828370273,1277.4925419364,1297.8067280698,13790.3223290514,2828.2964815457,6106.584851221,1033.0775604774,38927.8993352095
1/4/2002 20:00,9517.0721948808,1394.1606440493,1275.8598924353,1158.5485936122,11886.9073153284,2399.0525157405,5517.181053586,978.504999493,34127.2872091255
1/5/2002 20:00,8656.9720962683,1319.8325537243,1207.540640572,1080.8246194464,11099.4559987464,2272.7151302372,5042.3961909965,910.297461893,31590.0346918839
1/6/2002 20:00,8407.8339885184,1212.7251351945,1169.2798893673,1051.8878811942,10442.960309938,2170.3628580562,4664.4662513025,850.5537056445,29970.0700192156
1/7/2002 20:00,9424.0698843365,1530.9123645521,1177.3148821658,1178.6052064607,11911.3501720558,2395.4963020145,5104.312109734,882.9468232291,33605.0077445485
1/8/2002 20:00,8810.7164774337,1296.1660511221,1125.3746967763,1045.4435959217,10078.5147858563,2275.7981604529,4822.1428763185,816.0945538778,30270.2511977594
1/9/2002 20:00,8506.2430779396,1203.3749227726,1122.8081225428,994.894762768,9798.8762168946,2278.2906358585,4644.047034371,803.4731480389,29352.007921186
1/10/2002 20:00,9000.4063088799,1202.1760266427,1159.071393685,1070.4892239002,10503.6170317501,2330.2991616109,4533.3944294333,848.671177579,30648.124753481
1/11/2002 20:00,8640.8447347353,1235.0782667518,1163.4936331958,998.3061429751,10011.55040195,2260.7744165316,4897.0507298847,842.222418936,30049.3207449602
1/12/2002 20:00,8135.4086852179,1131.3934255875,1131.5467157808,971.9075645202,9779.475031109,2074.8521666977,4409.8423493134,810.3184603024,28444.7443985288
1/13/2002 20:00,8333.4972687838,1177.1938738746,1104.3323542026,943.1282172614,9287.3639579037,2109.2645809124,4560.5858614241,778.0392146733,28293.4053290358
1/14/2002 20:00,8865.4507089865,1283.6679189055,1187.124341072,1051.536168846,10506.4883673503,2257.3551772713,4891.5820384582,853.5042377257,30896.7089586154
1/15/2002 20:00,9165.9001996351,1314.0820233581,1179.5225047881,1062.222511241,10578.8407297132,2278.1053558707,4848.4570925285,843.6881579868,31270.8185751214
1/16/2002 20:00,8581.0654732633,1203.1510953791,1130.3697780543,998.1891361216,9940.8631771311,2355.7643622841,4650.6344599377,818.2899775267,29678.3274596979
1/17/2002 20:00,9006.0410197198,1293.8446236407,1175.1022228069,1169.2240570792,11683.1270503872,2533.3402901319,4706.4105950024,887.8679176643,32454.9577764324
1/18/2002 20:00,8518.3000875082,1368.674805518,1157.4296977142,1176.1989957386,11658.180094643,2368.7499807734,4850.808427493,875.2915013947,31973.6335907832
1/19/2002 20:00,8247.0160937454,1282.8552388261,1140.3611174331,1055.5531368847,10606.3781615547,2163.2200415121,4594.2614734383,832.0545845039,29921.6998478982
1/20/2002 20:00,8221.1195767097,1291.2110860094,1096.1412295735,967.6251401071,9802.3944261953,2109.3321358417,4483.4963551212,766.2217252921,28737.54167485
1/21/2002 20:00,8652.7098275124,1234.9981457188,1124.6824848327,1009.7680975274,10067.1975301279,2337.539747328,4754.9724921267,791.9772345133,29973.8455596871
1/22/2002 20:00,8966.8635948151,1239.5948899371,1123.245758706,997.8197405234,10000.5691710048,2628.7155372597,4732.4735366528,773.5985375916,30462.8807664904
1/23/2002 20:00,9137.9586576046,1238.8062948135,1086.8923260765,991.3324047532,9969.2881504739,2752.8864898502,5022.0327755743,789.7140751022,30988.9111742482
1/24/2002 20:00,8661.9580632738,1409.3794866969,1269.9343263194,1197.1622382611,12288.5520613081,2419.9836121349,5372.8853423338,936.2600806706,33556.1152109985
1/25/2002 20:00,8414.8192463603,1336.8449138013,1161.0296965577,998.8062811283,10375.157654773,2230.2214296252,4957.0133613007,815.5993027279,30289.4918862744
1/26/2002 20:00,7990.5057032378,1183.6351221537,1081.597767016,914.3034227976,9331.8072129195,2071.5660429968,4709.273802208,757.0897576704,28039.7788309997
1/27/2002 20:00,8047.4126595821,1128.0454916153,1089.0280781016,916.3677137493,9051.12212839,2191.392164814,4434.8678725589,753.8103289817,27612.046437793
1/28/2002 20:00,9113.0091452979,1265.948488987,1124.2830369688,982.0050790876,9791.5235029939,2589.6611099336,4866.3553580398,797.3274017646,30530.1131230731
1/29/2002 20:00,9163.2452814443,1325.1428526039,1112.8441846585,948.4607788783,10401.5147690602,2638.3463989773,4996.6945973033,780.5761069235,31366.8249698494
1/30/2002 20:00,9733.3126005207,1380.5703635491,1215.4136680855,1121.1280465251,10499.0744969003,2783.8973891123,5047.4813854559,863.4372330239,32644.3151831728
1/31/2002 20:00,8616.20568893,1373.7955626276,1222.9457450961,1249.028148088,12447.1228047099,2430.7382780596,4815.8099277505,921.1161157053,33076.762270967
2/1/2002 20:00,9460.3546262679,1431.7219578338,1205.7932327834,1107.7958802995,11788.6209705178,2391.2811117647,5504.8388858484,914.4265874066,33804.833252722
2/2/2002 20:00,8268.7369865095,1236.7070428046,1137.9569026299,1033.0086292209,10514.3905316481,2128.1022090509,4765.7977481102,844.2780152644,29928.9780652385
2/3/2002 20:00,7979.8990792928,1144.2995559996,1104.8921103742,981.9278040839,9698.7869216509,2100.1972593472,4565.979974639,796.4274948824,28372.4102002699
